solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,AIC,AICc,mape,nrmse,decomp.rssd,rsq_train,lambda,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
3_308_3,events,0.898289579996753,1097495.54297272,0.00664750198806681,1097495.54297272,0.353499372936632,1097495.54297272,0.00664750198806681,1097495.54297272,0.353499372936632,TRUE,,,3009755698014.29,3009755698017.59,0,0.0587009334387057,0.0334279887053807,0.933196225497089,321074.323819979,3,308,0,3,1845,1,,,,,,,,,
3_308_3,facebook_I,113275.759087341,3141288.46750996,0.0190267026290627,34144.4398642387,0.0109978014567489,3141288.46750996,0.0190267026290627,34144.4398642387,0.0109978014567489,TRUE,0.181827675117088,0.161716237968584,3009755698014.29,3009755698017.59,0,0.0587009334387057,0.0334279887053807,0.933196225497089,321074.323819979,3,308,0,3,1845,1,5988890.41190929,136111.145725211,0.181827675117088,0.161716237968584,0.367679942737018,0.524519276770084,1.90650762381482,50045.3382661156,0.000279567328107078
3_308_3,holiday,0.960002154895283,4348995.93937351,0.0263417554068358,271812.246210845,0.0875497483404531,4348995.93937351,0.0263417554068358,271812.246210845,0.0875497483404531,TRUE,,,3009755698014.29,3009755698017.59,0,0.0587009334387057,0.0334279887053807,0.933196225497089,321074.323819979,3,308,0,3,1845,1,,,,,,,,,
3_308_3,newsletter,399430.588657542,4304132.50983593,0.0260700187797924,46784.0490199558,0.0150689741729566,4304132.50983593,0.0260700187797924,46784.0490199558,0.0150689741729566,TRUE,,,3009755698014.29,3009755698017.59,0,0.0587009334387057,0.0334279887053807,0.933196225497089,321074.323819979,3,308,0,3,1845,1,,,,,,,,,
3_308_3,ooh_S,248173.625994792,5728183.23059597,0.0346954569949848,62262.8612021301,0.0200546439875069,5728183.23059597,0.0346954569949848,62262.8612021301,0.0200546439875069,TRUE,0.310911157955088,0.294891810168903,3009755698014.29,3009755698017.59,0,0.0587009334387057,0.0334279887053807,0.933196225497089,321074.323819979,3,308,0,3,1845,1,10240536,262577.846153846,0.310911157955088,0.294891810168903,0.336713386428726,0.559363614423695,1.78774588517039,88413.4757796226,0.13775573419116
3_308_3,print_S,378412.057113968,1932892.28311245,0.0117074783373661,21009.6987294832,0.00676714850826909,1932892.28311245,0.0117074783373661,21009.6987294832,0.00676714850826909,TRUE,0.0848043521333921,0.0995069608081011,3009755698014.29,3009755698017.59,0,0.0587009334387057,0.0334279887053807,0.933196225497089,321074.323819979,3,308,0,3,1845,1,2793216,77589.3333333333,0.0848043521333921,0.0995069608081011,0.438701881825184,0.691995278242875,1.44509656559972,34038.5865428948,1.13476254506531
3_308_3,search_clicks_P,53156.2648900112,2415194.45073748,0.0146287700352368,26252.1135949726,0.00845571150926732,2415194.45073748,0.0146287700352368,26252.1135949726,0.00845571150926732,TRUE,0.111321014032676,0.124336292122025,3009755698014.29,3009755698017.59,0,0.0587009334387057,0.0334279887053807,0.933196225497089,321074.323819979,3,308,0,3,1845,1,3666600,47618.1818181818,0.111321014032676,0.124336292122025,0.656711005657678,0.65870137204426,1.518138632225,31271.3840694083,0.344262946666277
3_308_3,season,0.369949423698008,-2984249.99736537,-0.0180755246956549,-32437.4999713627,-0.0104480022474166,-2984249.99736537,-0.0180755246956549,-32437.4999713627,-0.0104480022474166,FALSE,,,3009755698014.29,3009755698017.59,0,0.0587009334387057,0.0334279887053807,0.933196225497089,321074.323819979,3,308,0,3,1845,1,,,,,,,,,
3_308_3,trend,0.23786120963551,66098418.3327954,0.400356402437116,718461.068834732,0.231413730049901,66098418.3327954,0.400356402437116,718461.068834732,0.231413730049901,TRUE,,,3009755698014.29,3009755698017.59,0,0.0587009334387057,0.0334279887053807,0.933196225497089,321074.323819979,3,308,0,3,1845,1,,,,,,,,,
3_308_3,tv_S,388178.129184666,6207135.75441396,0.0375964599873485,67468.8668958039,0.0217314797250202,6207135.75441396,0.0375964599873485,67468.8668958039,0.0217314797250202,TRUE,0.311135800761756,0.319548698932386,3009755698014.29,3009755698017.59,0,0.0587009334387057,0.0334279887053807,0.933196225497089,321074.323819979,3,308,0,3,1845,1,10247935.1,256198.3775,0.311135800761756,0.319548698932386,0.506886923636457,0.605696239666268,1.65099258425476,129863.607411627,0.650512234497001
3_311_4,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,,,2880238289451.12,2880238289454.42,0,0.0574240202824319,0.0572149345910243,0.936070961065048,292550.965809729,4,311,0,3,1864,1,,,,,,,,,
3_311_4,competitor_sales_B,0.150056065366484,73447171.6269811,0.444926206006686,798338.822032403,0.255378429740391,73447171.6269811,0.444926206006686,798338.822032403,0.255378429740391,TRUE,,,2880238289451.12,2880238289454.42,0,0.0574240202824319,0.0572149345910243,0.936070961065048,292550.965809729,4,311,0,3,1864,1,,,,,,,,,
3_311_4,events,0.913379764332257,1115932.14784897,0.00676006231015902,1115932.14784897,0.356972493068771,1115932.14784897,0.00676006231015902,1115932.14784897,0.356972493068771,TRUE,,,2880238289451.12,2880238289454.42,0,0.0574240202824319,0.0572149345910243,0.936070961065048,292550.965809729,4,311,0,3,1864,1,,,,,,,,,
3_311_4,facebook_I,99436.0525427641,2782754.69791374,0.0168572929707645,30247.3336729754,0.00967573712320932,2782754.69791374,0.0168572929707645,30247.3336729754,0.00967573712320932,TRUE,0.181827675117088,0.136801127919604,2880238289451.12,2880238289454.42,0,0.0574240202824319,0.0572149345910243,0.936070961065048,292550.965809729,4,311,0,3,1864,1,5988890.41190929,136111.145725211,0.181827675117088,0.136801127919604,0.347734819199076,0.464652799854219,2.15214456969536,47330.5846497354,0.000327991714584641
3_311_4,holiday,0.974713179659481,4415639.73453301,0.0267489379190257,275977.483408313,0.0882816849330914,4415639.73453301,0.0267489379190257,275977.483408313,0.0882816849330914,TRUE,,,2880238289451.12,2880238289454.42,0,0.0574240202824319,0.0572149345910243,0.936070961065048,292550.965809729,4,311,0,3,1864,1,,,,,,,,,
3_311_4,newsletter,389930.078504761,4633787.92982867,0.0280704299074857,50367.2601068334,0.0161118455490655,4633787.92982867,0.0280704299074857,50367.2601068334,0.0161118455490655,TRUE,,,2880238289451.12,2880238289454.42,0,0.0574240202824319,0.0572149345910243,0.936070961065048,292550.965809729,4,311,0,3,1864,1,,,,,,,,,
